voter_address,address_type
0x81df18e15ad94b932f3deece8f07876402ce6529,EOA
0xcdfe01b91bd12020d2fd330a1bf030331549cbb5,EOA
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,EOA
0x0dcf8f08a79fcdf42916c532c8866f3d47fd85e2,EOA
0x556489651999f37447e6f00017f563c830ec8677,EOA
0xb9366fe9429c75e0d45726abb2d52c5db6aa4e85,EOA
0xff07d48929f1c7f1fb9bf939ae25c396ca9f9c39,EOA
0x2bc4c670c9f7e2c36c23970e97d5721f70c975db,EOA
0x4f894bfc9481110278c356ade1473ebe2127fd3c,Contract
0x718503d864a00c67968dedfa488aad83b65fc910,EOA
0x5b8c78c33881c3e229652c79e3dca124473ae2e2,EOA
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,EOA
0x4df0df2d3780a192e4ee87cce6156c562904e940,EOA
0x06ef5f94ffdcdee1825eb92dd28140e51197cdbd,EOA
0x40cf224a5e91949bd2ba4276d046c4680c8d646c,EOA
0x568901fa1696aa6f6f702c7ac0a45ae9c3687157,EOA
0x2ba0fcc894522df700060a6015f7e96537b18412,EOA
0x338061b75cb13cf2cefd52af4677673909995557,EOA
0x66aa8bee5366b6b48811ae0dac9fe5e1eefe1621,EOA
0x3874ddc850c6082dd7fc3d66f0588110448e847e,EOA
0x504635ae364cc84c645572a2dcfb4dfda269a3f4,EOA
0x69e258c76f3aa94f28478040ea0705ebafdb1ddf,EOA
0x1a4282897bedd0e72d4959c45b4a552180ab50b7,EOA
0xde88d146f61463d582262a1dcdf6ea1323aba34a,EOA
0x824d4cb20c7a60c88f83ab748012db401ded4835,EOA
0x482abc7795ccfb657dd09c9f0b67312f4eccfd07,EOA
0xa0ac46fec80fe0e8d89d2877edafa5ad80b66add,EOA
0xd78d651210ea63e4bcebf5d99b545276e8acc51a,EOA
0xd6674440805e20fffff9b0bf9f8b7254f3b651b3,EOA
0xdea144b723417f55197d6a4f220aa077626d6923,EOA
0xc0555149b5a5d96ac016d3425b7986504190c3a0,EOA
0xafad92fd4a7341de0bdcfa7febba482fe4b6e1b6,EOA
0x17296956b4e07ff8931e4ff4ea06709fab70b879,EOA
0xf078b35322a49cb5f666cc6c69a0f7c34187fbe2,EOA
0xa0efd27acc781549d5b78e89e561aa0903932d56,EOA
0x1855f41b8a86e701e33199de7c25d3e3830698ba,EOA
0xbc32be4d2c70239b59435a5963e5024637fa193e,EOA
